key,N,L,mse,rmse,fmse
N=4L=10-test2,4.0,10.0,152.33187398601348,11.174063203037672,2295.494964847788
N=4L=20-test2,4.0,20.0,123.92702626512533,9.131689565415659,3751.0366421806884
N=4L=30-test2,4.0,30.0,126.15314605116059,9.30110344855399,2509.25192211131
N=4L=40-test2,4.0,40.0,127.15197161708376,9.331398608467035,5278.6040510097255
N=10L=10-test2,10.0,10.0,92.20507816190722,7.291356490905363,16157.64411864701
N=10L=20-test2,10.0,20.0,131.38105709403845,9.620141086742656,58363.84732382145
N=10L=30-test2,10.0,30.0,127.87316764683162,9.096718714062535,42645.480842922545
N=10L=40-test2,10.0,40.0,122.78083136079816,8.873654986670042,337925.96957435773
N=12L=10-test2,12.0,10.0,104.07333597185884,8.004140917641813,26795.389970250435
N=12L=20-test2,12.0,20.0,104.8388707725792,7.84773170019413,120356.00347355545
N=12L=30-test2,12.0,30.0,108.98214690955686,8.045436944245475,131037.9419069156
N=12L=40-test2,12.0,40.0,114.43840175937963,8.379175392763296,620991.1232784457
N=16L=10-test2,16.0,10.0,154.38754270929905,10.628242330287778,12586.299581455538
N=16L=20-test2,16.0,20.0,121.71095547466791,8.888079794361424,275860.1527570263
N=16L=30-test2,16.0,30.0,114.40423331516905,8.390139157116796,827062.928335822
N=16L=40-test2,16.0,40.0,129.375530806207,9.230752352247462,923420.5844710752
