key,N,L,mse,rmse,fmse
N=4L=5-test2,4.0,5.0,0.014676101234258635,0.05755685193989536,258.88789262617314
N=4L=8-test2,4.0,8.0,0.02380610950978022,0.08280264169739163,2878.9550453377224
N=4L=10-test2,4.0,10.0,0.026930124825739987,0.09384339134466595,4934.9679085959515
N=4L=15-test2,4.0,15.0,0.038854031040772743,0.10807067135571359,8979.171683300596
N=4L=17-test2,4.0,17.0,0.03076871656028991,0.09649734349644205,2539.250689269459
N=4L=20-test2,4.0,20.0,0.027701683158913762,0.09220548328093495,4238.215557958545
N=4L=22-test2,4.0,22.0,0.03607104143651539,0.10459297347565817,7280.810580296156
N=4L=25-test2,4.0,25.0,0.02488914831479879,0.08407486263861483,20943.69488729148
N=4L=30-test2,4.0,30.0,0.021337616111302738,0.08338994203562441,4052.5244491784692
N=4L=40-test2,4.0,40.0,0.02466058545672895,0.08610039599758586,5034.297268067789
N=4L=60-test2,4.0,60.0,0.028385428932910305,0.09434541814824111,7856.108094408762
N=6L=5-test2,6.0,5.0,0.033445930868414984,0.10791942948078062,3958.7513349968485
N=6L=8-test2,6.0,8.0,0.02764570043932033,0.09390656638723624,2179.965586334181
N=6L=10-test2,6.0,10.0,0.04293695140705962,0.1227341418860212,3739.4939276033165
N=6L=15-test2,6.0,15.0,0.05442779224874607,0.14133151402197833,37681.450444797134
N=6L=17-test2,6.0,17.0,0.04729258995130398,0.13085172542328125,8174.6807050846355
N=6L=20-test2,6.0,20.0,0.059415415979746235,0.14194296362910513,14948.276563067384
N=6L=22-test2,6.0,22.0,0.04448685416831375,0.12399985003014113,15804.967429526163
N=6L=25-test2,6.0,25.0,0.050981067583643236,0.13578634369787645,19293.686190049317
N=6L=30-test2,6.0,30.0,0.059165148605309664,0.1444639207691731,26999.500524732633
N=6L=40-test2,6.0,40.0,0.027785805285131207,0.09367091914319246,26359.489671487954
N=6L=60-test2,6.0,60.0,0.035991352173269445,0.10730190661077256,28116.63084850461
N=8L=5-test2,8.0,5.0,0.021510955176852146,0.07497169263878868,2420.3370649304175
N=8L=8-test2,8.0,8.0,0.07645330165141498,0.17751348153199129,2549.485559106053
N=8L=10-test2,8.0,10.0,0.07298078325364948,0.1745661702275243,4042.8856220700313
N=8L=15-test2,8.0,15.0,0.10015982463019363,0.20387285276640058,13608.45651546794
N=8L=17-test2,8.0,17.0,0.08936071965783812,0.19881129295031294,15340.942796506006
N=8L=20-test2,8.0,20.0,0.10992061654668824,0.21812659738354082,22661.960817058516
N=8L=22-test2,8.0,22.0,0.08998867780723757,0.1940846349204098,41588.85998480826
N=8L=25-test2,8.0,25.0,0.1166594422049252,0.22587845411511864,54628.89470283944
N=8L=30-test2,8.0,30.0,0.08016764345966175,0.1795312130157498,47851.295854081065
N=8L=40-test2,8.0,40.0,0.10365855357180111,0.21452985003920588,87954.6642104294
N=8L=60-test2,8.0,60.0,0.08750188650250665,0.19120151639491512,69132.49890000877
N=10L=5-test2,10.0,5.0,0.02356639043434271,0.08564825515477464,2561.1651688722823
N=10L=8-test2,10.0,8.0,0.07812108049970634,0.18893486737599144,3037.359365910787
N=10L=10-test2,10.0,10.0,0.0993289897521978,0.21439735133304233,3535.5897400058434
N=10L=15-test2,10.0,15.0,0.11925560096736658,0.2424773614447734,23773.034990847176
N=10L=17-test2,10.0,17.0,0.14459800789752364,0.26342327487090406,34616.13956378484
N=10L=20-test2,10.0,20.0,0.19147858750942082,0.2901144743410949,48535.820779545866
N=10L=22-test2,10.0,22.0,0.1719750647044658,0.28477774248168974,103924.65155949883
N=10L=25-test2,10.0,25.0,0.15535387181694393,0.2703331389729494,217428.58556509332
N=10L=30-test2,10.0,30.0,0.276041771426249,0.364402166216791,201148.48292710344
N=10L=40-test2,10.0,40.0,0.26288181740419936,0.32227322791678126,289583.335381117
N=10L=60-test2,10.0,60.0,0.36796881065650766,0.3425078078845478,349369.0578440928
N=12L=5-test2,12.0,5.0,0.023615375523323247,0.08385166892527664,2374.3712271859067
N=12L=8-test2,12.0,8.0,0.09347422076325447,0.21241624822836536,3022.5324968778327
N=12L=10-test2,12.0,10.0,0.14586012770580553,0.2714216966535841,4189.08750771627
N=12L=15-test2,12.0,15.0,0.19711853589088063,0.3109974065940768,31280.60916343352
N=12L=17-test2,12.0,17.0,0.21275949508545125,0.33415852594173645,110703.26949436196
N=12L=20-test2,12.0,20.0,0.26067940474425916,0.3542195842984998,130758.85577943937
N=12L=22-test2,12.0,22.0,0.2239826505847936,0.3410282702673332,120456.72234389065
N=12L=25-test2,12.0,25.0,0.2722923056056992,0.3685036381427736,270898.99533219263
N=12L=30-test2,12.0,30.0,0.34023624395004426,0.4077519603145925,332992.97277585446
N=12L=40-test2,12.0,40.0,0.5071873367116708,0.49483109511751744,1754953.9459278302
N=12L=60-test2,12.0,60.0,0.4200399543810328,0.46019029568600434,1011535.7575220173
N=14L=5-test2,14.0,5.0,0.03910733327522331,0.13036315082785177,1861.7481379245253
N=14L=8-test2,14.0,8.0,0.0895574504122046,0.21097654188375237,2636.0491512158314
N=14L=10-test2,14.0,10.0,0.10632629435870143,0.23508770109660307,2764.456081331948
N=14L=15-test2,14.0,15.0,0.19611105995501044,0.3211405078821938,11892.818489864547
N=14L=17-test2,14.0,17.0,0.2956422398883457,0.39751725166922813,40508.27032633555
N=14L=20-test2,14.0,20.0,0.31219511216550905,0.4031338784951168,105957.08276302219
N=14L=22-test2,14.0,22.0,0.3012763976882911,0.39890315295478246,300674.8197579431
N=14L=25-test2,14.0,25.0,0.31421189531394034,0.3986926849444913,328160.0589845391
N=14L=30-test2,14.0,30.0,0.6369235379249772,0.558280120042936,421510.95537830365
N=14L=40-test2,14.0,40.0,0.8317274550561754,0.5954450673297361,2809571.6176709933
N=14L=60-test2,14.0,60.0,0.6868263926878622,0.5564978717320627,1274159.7230769647
N=16L=5-test2,16.0,5.0,0.04002653164050197,0.13018933864921778,2012.4167625557027
N=16L=8-test2,16.0,8.0,0.09015485156486211,0.20826342828894284,2615.799566164796
N=16L=10-test2,16.0,10.0,0.10486299711368328,0.23206731894020746,2476.6200838729933
N=16L=15-test2,16.0,15.0,0.21558031573674657,0.3517392603419481,25399.680163722922
N=16L=17-test2,16.0,17.0,0.21712577506257297,0.3439221630845886,22654.196227517863
N=16L=20-test2,16.0,20.0,0.3486098056146183,0.435661085065422,65889.01595690167
N=16L=22-test2,16.0,22.0,0.4529439170373096,0.46565354988750146,154447.5774604638
N=16L=25-test2,16.0,25.0,0.505378383200068,0.5021476249171007,187092.1868896822
N=16L=30-test2,16.0,30.0,0.5855673724069067,0.5548660163237181,523004.7966291272
N=16L=40-test2,16.0,40.0,0.7454510374177962,0.6072745484479555,3657436.734925817
N=16L=60-test2,16.0,60.0,0.9537256290739592,0.6626062139351994,5375524.336189237
N=32L=5-test2,32.0,5.0,0.0402295528532485,0.1306602591370542,1998.6153529385854
N=32L=8-test2,32.0,8.0,0.0933905715521543,0.2146379773625183,2898.299919266258
N=32L=10-test2,32.0,10.0,0.12411097014299884,0.255077687288327,3176.8200585752934
N=32L=15-test2,32.0,15.0,0.2645704243368978,0.3736862391682139,7297.542361298263
N=32L=17-test2,32.0,17.0,0.3739105134844051,0.4579499791911452,10139.953826318158
N=32L=20-test2,32.0,20.0,0.5490104907298997,0.5268954178760874,22845.53582358146
N=32L=22-test2,32.0,22.0,0.6592946754398582,0.5861202733998089,58051.27537578919
N=32L=25-test2,32.0,25.0,0.8881634388319414,0.6902059837603477,82710.29522724837
N=32L=30-test2,32.0,30.0,1.2027278974887385,0.816391949515496,257468.3585966071
N=32L=40-test2,32.0,40.0,3.0119565402282764,1.2438761086106076,1412025.8207734816
N=32L=60-test2,32.0,60.0,5.892899607751048,1.756877378667443,5705911.552903596
N=40L=5-test2,40.0,5.0,0.022839657507932633,0.08699615245363806,3052.711369485762
N=40L=8-test2,40.0,8.0,0.11029988626576515,0.23599256470995297,3042.3920495421225
N=40L=10-test2,40.0,10.0,0.13290513253463337,0.26228906516627726,2727.270513375268
N=40L=15-test2,40.0,15.0,0.2952526916876123,0.39916391975476634,12323.056902298986
N=40L=17-test2,40.0,17.0,0.3837712874608389,0.4465880420547467,11353.656478259272
N=40L=20-test2,40.0,20.0,0.6290394570109568,0.590089086510882,21896.090503943684
N=40L=22-test2,40.0,22.0,0.6633955274777621,0.6052991496134279,35409.802935667045
N=40L=25-test2,40.0,25.0,1.0264196906394454,0.736299531815885,60639.897516099896
N=40L=30-test2,40.0,30.0,1.4559410499843175,0.8713373603409448,162732.6231638067
N=40L=40-test2,40.0,40.0,2.9184564595361375,1.2687649757015298,965907.5308612812
N=40L=60-test2,40.0,60.0,7.720792338619218,1.9534518952049853,6079123.097416623
N=64L=5-test2,64.0,5.0,0.03319867234136631,0.11341317342668883,2158.2564118700357
N=64L=8-test2,64.0,8.0,0.07879813578979553,0.19452288333558113,3233.716342612544
N=64L=10-test2,64.0,10.0,0.09924464760868262,0.22719552195490672,2285.7147629771534
N=64L=15-test2,64.0,15.0,0.20902985087814763,0.3351839712354323,7466.474501493387
N=64L=17-test2,64.0,17.0,0.3173319317095894,0.42617679238254025,12335.191746893413
N=64L=20-test2,64.0,20.0,0.6120035254497017,0.5829877929018572,54796.53747845572
N=64L=22-test2,64.0,22.0,0.5925390270083043,0.5527660386427093,37926.63354245001
N=64L=25-test2,64.0,25.0,0.8384861429721561,0.6740870412989753,72171.58949355347
N=64L=30-test2,64.0,30.0,1.2085824273538637,0.8178510290342125,156111.5744720858
N=64L=40-test2,64.0,40.0,2.7931109505096483,1.2628751466276067,558494.0548718281
N=64L=60-test2,64.0,60.0,7.198728553718863,2.026399503041077,4247459.299290096
